"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...189","2009 May","7014085.7","4408457.4","703011.4","121593.6","453741.1","288500.1","124047.5","106560.6","486422.9","2879291.4","215897.2","193704.1"
"...190","2009 Apr","7122651.3","4270761.4","731033.3","129479.4","607676.6","300553.5","149181.3","82657.4","512208.9","2954362.9","205091.6","192795.4"
"...191","2009 Mar","7290104.6","4140750.7","726615.1","140889.4","797253.5","326375.7","119486.6","97643.5","566215.1","3117826.2","200856.4","197102.3"
"...192","2009 Feb","6029491.6","3519777.8","606471.9","151516.9","480404.2","256785.5","118963.1","98666.1","502504.5","2887356.6","187864.1","182644"
"...193","2009 Jan","5950038.4","3098838.6","835616.7","133094.4","535405.1","277902.8","109023.9","99370.8","555530.1","2742598.9","185124.7","161917.9"
"...194","2008 Dec","7084911.6","3461991.3","929688.9","409387","659221.5","356390.5","112344.6","116094.8","701429.1","3415491.5","226456.3","228663.2"
"...195","2008 Nov","7993868.6","4209399.2","1028759.6","196496.6","562269.1","460211.3","130369.6","196041.9","790146.3","3662730.6","284978.9","242400.7"
"...196","2008 Oct","9304951","4921327.6","1128118.4","191812","740585.4","537597.2","118961.2","171465.9","991180.7","3633573.6","297352.8","267459"
"...197","2008 Sep","10642547.6","5695775.1","1394490.5","186881.5","835100.2","611127","131363.8","248285.1","1027287.3","3513728.3","296863.6","270973.2"
"...198","2008 Aug","9593226.2","4890605","1423151.2","141019.6","817418.4","532151.7","128028.6","232561.3","961145.8","3537220.5","281098.8","254449.8"
"...199","2008 Jul","9930879.8","5186256.2","1229240.9","168201.7","903981.6","580841.5","125958.2","183285.2","1013559","3732337.9","320544.7","255211.1"
"...200","2008 Jun","9515248.9","5025795.8","1214686.2","144588.5","940205.6","525051.7","127713.1","178018.3","879319.6","3648433.6","285172.6","269484"
